title,location,industry,skills,skill_categories,description,min_salary,max_salary,med_salary
Lead Project Manager,New York,Retail,"['Supply Chain Management', 'Manufacturing Processes', 'Java', 'AWS', 'Node.js']","['Software Engineering', 'Operations']","Exciting opportunity for a Lead Project Manager in New York. Our Retail division is expanding and needs someone skilled in Supply Chain Management, Manufacturing Processes, Java, AWS and Node.js. Competitive salary and comprehensive benefits package. Strong background in Software Engineering and Operations is essential.",232987.95,354421.02,293704.485
Lead Software Engineer,Austin,Healthcare,"['UX Design', 'UI Design', 'Marketing Strategy', 'Financial Modeling']","['Design', 'Finance', 'Business']","Exciting opportunity for a Lead Software Engineer in Austin. Our Healthcare division is expanding and needs someone skilled in UX Design, UI Design, Marketing Strategy and Financial Modeling. Competitive salary and comprehensive benefits package. This role focuses on Design and Finance and Business skills.",201094.28,297274.57,249184.425
Senior Project Manager,New York,Finance,"['Healthcare IT', 'Retail Sales', 'Manufacturing Processes', 'Customer Service']","['Healthcare', 'Operations', 'Business']","Exciting opportunity for a Senior Project Manager in New York. Our Finance division is expanding and needs someone skilled in Healthcare IT, Retail Sales, Manufacturing Processes and Customer Service. Competitive salary and comprehensive benefits package. Strong background in Healthcare and Operations and Business is essential.",210502.85,306139.36,258321.10499999998
Senior Financial Analyst,Austin,Hospitality,"['Investment Banking', 'Kanban', 'Project Management']","['Product & Management', 'Finance']","Exciting opportunity for a Senior Financial Analyst in Austin. Our Hospitality division is expanding and needs someone skilled in Investment Banking, Kanban and Project Management. Competitive salary and comprehensive benefits package. This role focuses on Product & Management and Finance skills.",137351.91,204240.57,170796.24
Lead Project Manager,Chicago,Hospitality,"['Docker', 'SQL', 'Java', 'AWS', 'Business Development']","['Software Engineering', 'Business']","Exciting opportunity for a Lead Project Manager in Chicago. Our Hospitality division is expanding and needs someone skilled in Docker, SQL, Java, AWS and Business Development. Competitive salary and comprehensive benefits package. Strong background in Software Engineering and Business is essential.",202725.24,303475.81,253100.525
Lead UX Designer,Seattle,Retail,"['Business Development', 'Healthcare IT', 'Real Estate Law', 'EHR Systems', 'Retail Sales']","['Healthcare', 'Business']","Exciting opportunity for a Lead UX Designer in Seattle. Our Retail division is expanding and needs someone skilled in Business Development, Healthcare IT, Real Estate Law, EHR Systems and Retail Sales. Competitive salary and comprehensive benefits package. Expert knowledge of Healthcare and Business is required.",205642.94,290038.96,247840.95
Entry Level HR Generalist,Austin,Manufacturing,"['Transportation Planning', 'UX Design', 'Retail Sales']","['Design', 'Operations', 'Business']","We are seeking a Entry Level HR Generalist to join our Manufacturing team. The ideal candidate will have experience with Transportation Planning, UX Design and Retail Sales. This position is based in Austin and offers competitive compensation. This role focuses on Design and Operations and Business skills.",54230.71,91637.55,72934.13
Senior Software Engineer,Austin,Healthcare,"['Customer Service', 'Real Estate Law', 'Business Development', 'Marketing Strategy', 'Retail Sales']",['Business'],"Exciting opportunity for a Senior Software Engineer in Austin. Our Healthcare division is expanding and needs someone skilled in Customer Service, Real Estate Law, Business Development, Marketing Strategy and Retail Sales. Competitive salary and comprehensive benefits package. Strong background in Business is essential.",136309.66,209348.53,172829.095
Lead Software Engineer,Chicago,Technology,"['Equity Research', 'Docker', 'Healthcare IT', 'Java', 'EHR Systems']","['Software Engineering', 'Finance', 'Healthcare']","Join our growing Technology company as a Lead Software Engineer. Required technical skills: Equity Research, Docker, Healthcare IT, Java and EHR Systems. Position located in Chicago with excellent benefits. Strong background in Software Engineering and Finance and Healthcare is essential.",272407.53,402207.96,337307.745
Lead Financial Analyst,San Francisco,Hospitality,"['Logistics', 'Manufacturing Processes', 'Supply Chain Management']",['Operations'],"We are seeking a Lead Financial Analyst to join our Hospitality team. The ideal candidate will have experience with Logistics, Manufacturing Processes and Supply Chain Management. This position is based in San Francisco and offers competitive compensation. This role focuses on Operations skills.",192159.65,267845.66,230002.65499999997
Lead Project Manager,New York,Real Estate,"['Retail Sales', 'Healthcare IT', 'Real Estate Law', 'Machine Learning', 'EHR Systems']","['Data & AI', 'Healthcare', 'Business']","We are seeking a Lead Project Manager to join our Real Estate team. The ideal candidate will have experience with Retail Sales, Healthcare IT, Real Estate Law, Machine Learning and EHR Systems. This position is based in New York and offers competitive compensation. Expert knowledge of Data & AI and Healthcare and Business is required.",253287.84,365458.44,309373.14
Mid Level Customer Success Manager,Seattle,Retail,"['Agile Methodologies', 'Supply Chain Management', 'Logistics', 'Scrum']","['Product & Management', 'Operations']","Join our growing Retail company as a Mid Level Customer Success Manager. Required technical skills: Agile Methodologies, Supply Chain Management, Logistics and Scrum. Position located in Seattle with excellent benefits. Expert knowledge of Product & Management and Operations is required.",104812.01,152788.02,128800.01499999998
Senior Marketing Specialist,Chicago,Real Estate,"['Project Management', 'Scrum', 'AWS', 'Java']","['Software Engineering', 'Product & Management']","Join our growing Real Estate company as a Senior Marketing Specialist. Required technical skills: Project Management, Scrum, AWS and Java. Position located in Chicago with excellent benefits. This role focuses on Software Engineering and Product & Management skills.",174472.4,255955.51,215213.95500000002
Executive Financial Analyst,Chicago,Retail,"['Kanban', 'Agile Methodologies', 'Equity Research', 'Scrum', 'Financial Modeling', 'Risk Management']","['Product & Management', 'Finance']","Join our growing Retail company as a Executive Financial Analyst. Required technical skills: Kanban, Agile Methodologies, Equity Research, Scrum, Financial Modeling and Risk Management. Position located in Chicago with excellent benefits. Expert knowledge of Product & Management and Finance is required.",292497.58,485688.1,389092.83999999997
Mid Level Software Engineer,Chicago,Transportation,"['Scrum', 'Machine Learning', 'Data Analysis', 'Project Management']","['Data & AI', 'Product & Management']","Join our growing Transportation company as a Mid Level Software Engineer. Required technical skills: Scrum, Machine Learning, Data Analysis and Project Management. Position located in Chicago with excellent benefits. This role focuses on Data & AI and Product & Management skills.",114924.19,164576.66,139750.425
Executive Marketing Specialist,Austin,Manufacturing,"['Retail Sales', 'Supply Chain Management', 'Manufacturing Processes']","['Operations', 'Business']","We are seeking a Executive Marketing Specialist to join our Manufacturing team. The ideal candidate will have experience with Retail Sales, Supply Chain Management and Manufacturing Processes. This position is based in Austin and offers competitive compensation. Expert knowledge of Operations and Business is required.",220365.66,387089.82,303727.74
Executive Supply Chain Analyst,Seattle,Manufacturing,"['Kanban', 'AWS', 'Risk Management', 'Node.js', 'Agile Methodologies']","['Software Engineering', 'Product & Management']","Exciting opportunity for a Executive Supply Chain Analyst in Seattle. Our Manufacturing division is expanding and needs someone skilled in Kanban, AWS, Risk Management, Node.js and Agile Methodologies. Competitive salary and comprehensive benefits package. This role focuses on Software Engineering and Product & Management skills.",303144.93,524828.34,413986.635
Mid Level UX Designer,San Francisco,Transportation,"['Equity Research', 'Supply Chain Management', 'Financial Modeling', 'Transportation Planning', 'Logistics']","['Finance', 'Operations']","Join our growing Transportation company as a Mid Level UX Designer. Required technical skills: Equity Research, Supply Chain Management, Financial Modeling, Transportation Planning and Logistics. Position located in San Francisco with excellent benefits. This role focuses on Finance and Operations skills.",130781.63,185409.01,158095.32
Mid Level Marketing Specialist,Chicago,Manufacturing,"['Business Development', 'Customer Service', 'Real Estate Law', 'Retail Sales', 'Marketing Strategy']",['Business'],"Exciting opportunity for a Mid Level Marketing Specialist in Chicago. Our Manufacturing division is expanding and needs someone skilled in Business Development, Customer Service, Real Estate Law, Retail Sales and Marketing Strategy. Competitive salary and comprehensive benefits package. Strong background in Business is essential.",94452.75,142749.81,118601.28
Lead Data Scientist,Seattle,Finance,"['Project Management', 'Risk Management', 'Scrum', 'Kanban', 'Agile Methodologies']",['Product & Management'],"Exciting opportunity for a Lead Data Scientist in Seattle. Our Finance division is expanding and needs someone skilled in Project Management, Risk Management, Scrum, Kanban and Agile Methodologies. Competitive salary and comprehensive benefits package. This role focuses on Product & Management skills.",267163.8,401674.63,334419.21499999997
Executive Marketing Specialist,Austin,Real Estate,"['Investment Banking', 'Equity Research', 'Financial Modeling']",['Finance'],"Exciting opportunity for a Executive Marketing Specialist in Austin. Our Real Estate division is expanding and needs someone skilled in Investment Banking, Equity Research and Financial Modeling. Competitive salary and comprehensive benefits package. Expert knowledge of Finance is required.",240018.15,414677.15,327347.65
Senior Project Manager,Seattle,Real Estate,"['Kanban', 'Project Management', 'Healthcare IT']","['Product & Management', 'Healthcare']","Join our growing Real Estate company as a Senior Project Manager. Required technical skills: Kanban, Project Management and Healthcare IT. Position located in Seattle with excellent benefits. Strong background in Product & Management and Healthcare is essential.",165160.42,257668.6,211414.51
Mid Level HR Generalist,Seattle,Finance,"['React', 'Kanban', 'Node.js', 'Python', 'Retail Sales', 'Customer Service']","['Software Engineering', 'Product & Management', 'Business']","We are seeking a Mid Level HR Generalist to join our Finance team. The ideal candidate will have experience with React, Kanban, Node.js, Python, Retail Sales and Customer Service. This position is based in Seattle and offers competitive compensation. This role focuses on Software Engineering and Product & Management and Business skills.",161991.79,245696.56,203844.175
Lead Customer Success Manager,Chicago,Education,"['Healthcare IT', 'Kanban', 'Agile Methodologies']","['Product & Management', 'Healthcare']","Exciting opportunity for a Lead Customer Success Manager in Chicago. Our Education division is expanding and needs someone skilled in Healthcare IT, Kanban and Agile Methodologies. Competitive salary and comprehensive benefits package. Expert knowledge of Product & Management and Healthcare is required.",158625.04,246855.26,202740.15000000002
Mid Level Supply Chain Analyst,Austin,Healthcare,"['Data Analysis', 'Machine Learning', 'UX Design', 'UI Design']","['Data & AI', 'Design']","We are seeking a Mid Level Supply Chain Analyst to join our Healthcare team. The ideal candidate will have experience with Data Analysis, Machine Learning, UX Design and UI Design. This position is based in Austin and offers competitive compensation. This role focuses on Data & AI and Design skills.",121038.48,179327.93,150183.205
Mid Level Customer Success Manager,Seattle,Real Estate,"['Retail Sales', 'Business Development', 'Node.js', 'Real Estate Law']","['Software Engineering', 'Business']","We are seeking a Mid Level Customer Success Manager to join our Real Estate team. The ideal candidate will have experience with Retail Sales, Business Development, Node.js and Real Estate Law. This position is based in Seattle and offers competitive compensation. Strong background in Software Engineering and Business is essential.",127594.6,184469.52,156032.06
Mid Level Customer Success Manager,Austin,Finance,"['Machine Learning', 'EHR Systems', 'Data Analysis', 'Healthcare IT']","['Data & AI', 'Healthcare']","Exciting opportunity for a Mid Level Customer Success Manager in Austin. Our Finance division is expanding and needs someone skilled in Machine Learning, EHR Systems, Data Analysis and Healthcare IT. Competitive salary and comprehensive benefits package. This role focuses on Data & AI and Healthcare skills.",137873.66,206512.77,172193.215
Executive Project Manager,Austin,Manufacturing,"['Java', 'Customer Service', 'Transportation Planning', 'Real Estate Law', 'Supply Chain Management', 'Docker']","['Software Engineering', 'Operations', 'Business']","Join our growing Manufacturing company as a Executive Project Manager. Required technical skills: Java, Customer Service, Transportation Planning, Real Estate Law, Supply Chain Management and Docker. Position located in Austin with excellent benefits. Expert knowledge of Software Engineering and Operations and Business is required.",273657.98,502816.71,388237.345
Entry Level Product Manager,Austin,Manufacturing,"['Python', 'Project Management', 'EHR Systems', 'Machine Learning', 'React']","['Software Engineering', 'Data & AI', 'Product & Management', 'Healthcare']","We are seeking a Entry Level Product Manager to join our Manufacturing team. The ideal candidate will have experience with Python, Project Management, EHR Systems, Machine Learning and React. This position is based in Austin and offers competitive compensation. This role focuses on Software Engineering and Data & AI and Product & Management and Healthcare skills.",73280.86,112580.13,92930.495
Mid Level Business Analyst,Austin,Consulting,"['Transportation Planning', 'React', 'Python']","['Software Engineering', 'Operations']","We are seeking a Mid Level Business Analyst to join our Consulting team. The ideal candidate will have experience with Transportation Planning, React and Python. This position is based in Austin and offers competitive compensation. Strong background in Software Engineering and Operations is essential.",120546.61,187607.9,154077.255
Executive Operations Manager,Chicago,Hospitality,"['Healthcare IT', 'Clinical Trials', 'Data Analysis', 'EHR Systems', 'Machine Learning']","['Data & AI', 'Healthcare']","Join our growing Hospitality company as a Executive Operations Manager. Required technical skills: Healthcare IT, Clinical Trials, Data Analysis, EHR Systems and Machine Learning. Position located in Chicago with excellent benefits. This role focuses on Data & AI and Healthcare skills.",288999.8,509752.53,399376.16500000004
Entry Level Sales Manager,Austin,Finance,"['Business Development', 'Customer Service', 'Marketing Strategy']",['Business'],"We are seeking a Entry Level Sales Manager to join our Finance team. The ideal candidate will have experience with Business Development, Customer Service and Marketing Strategy. This position is based in Austin and offers competitive compensation. Strong background in Business is essential.",65334.73,99947.16,82640.945
Lead Customer Success Manager,San Francisco,Healthcare,"['AWS', 'Investment Banking', 'React', 'Docker']","['Software Engineering', 'Finance']","We are seeking a Lead Customer Success Manager to join our Healthcare team. The ideal candidate will have experience with AWS, Investment Banking, React and Docker. This position is based in San Francisco and offers competitive compensation. Expert knowledge of Software Engineering and Finance is required.",282847.39,416753.59,349800.49
Senior Supply Chain Analyst,Austin,Hospitality,"['Real Estate Law', 'Marketing Strategy', 'Business Development', 'Retail Sales']",['Business'],"Join our growing Hospitality company as a Senior Supply Chain Analyst. Required technical skills: Real Estate Law, Marketing Strategy, Business Development and Retail Sales. Position located in Austin with excellent benefits. Expert knowledge of Business is required.",109478.0,175446.62,142462.31
Mid Level HR Generalist,Austin,Hospitality,"['Retail Sales', 'Real Estate Law', 'EHR Systems', 'Logistics']","['Healthcare', 'Operations', 'Business']","Exciting opportunity for a Mid Level HR Generalist in Austin. Our Hospitality division is expanding and needs someone skilled in Retail Sales, Real Estate Law, EHR Systems and Logistics. Competitive salary and comprehensive benefits package. Expert knowledge of Healthcare and Operations and Business is required.",84489.41,128713.91,106601.66
Lead Financial Analyst,New York,Healthcare,"['Docker', 'AWS', 'Python', 'React', 'Node.js', 'Java']",['Software Engineering'],"Exciting opportunity for a Lead Financial Analyst in New York. Our Healthcare division is expanding and needs someone skilled in Docker, AWS, Python, React, Node.js and Java. Competitive salary and comprehensive benefits package. This role focuses on Software Engineering skills.",277713.64,404575.1,341144.37
Lead Marketing Specialist,Austin,Finance,"['Healthcare IT', 'Java', 'Supply Chain Management']","['Software Engineering', 'Healthcare', 'Operations']","Join our growing Finance company as a Lead Marketing Specialist. Required technical skills: Healthcare IT, Java and Supply Chain Management. Position located in Austin with excellent benefits. Expert knowledge of Software Engineering and Healthcare and Operations is required.",232789.06,331939.93,282364.495
Mid Level Sales Manager,New York,Education,"['Business Development', 'Real Estate Law', 'Marketing Strategy', 'Retail Sales', 'Customer Service']",['Business'],"We are seeking a Mid Level Sales Manager to join our Education team. The ideal candidate will have experience with Business Development, Real Estate Law, Marketing Strategy, Retail Sales and Customer Service. This position is based in New York and offers competitive compensation. Strong background in Business is essential.",86785.05,131483.17,109134.11000000002
Mid Level Supply Chain Analyst,Austin,Consulting,"['React', 'Data Analysis', 'Machine Learning', 'UX Design', 'Marketing Strategy', 'Docker']","['Software Engineering', 'Data & AI', 'Design', 'Business']","Join our growing Consulting company as a Mid Level Supply Chain Analyst. Required technical skills: React, Data Analysis, Machine Learning, UX Design, Marketing Strategy and Docker. Position located in Austin with excellent benefits. Expert knowledge of Software Engineering and Data & AI and Design and Business is required.",138305.89,204060.04,171182.96500000003
Entry Level Financial Analyst,New York,Consulting,"['Transportation Planning', 'Manufacturing Processes', 'Kanban', 'UX Design', 'Agile Methodologies']","['Product & Management', 'Design', 'Operations']","Exciting opportunity for a Entry Level Financial Analyst in New York. Our Consulting division is expanding and needs someone skilled in Transportation Planning, Manufacturing Processes, Kanban, UX Design and Agile Methodologies. Competitive salary and comprehensive benefits package. Strong background in Product & Management and Design and Operations is essential.",83423.9,141880.17,112652.035
Executive Customer Success Manager,Austin,Retail,"['Logistics', 'Manufacturing Processes', 'Supply Chain Management']",['Operations'],"We are seeking a Executive Customer Success Manager to join our Retail team. The ideal candidate will have experience with Logistics, Manufacturing Processes and Supply Chain Management. This position is based in Austin and offers competitive compensation. Expert knowledge of Operations is required.",203510.17,360421.1,281965.635
Lead Operations Manager,Seattle,Retail,"['Java', 'Clinical Trials', 'Marketing Strategy', 'Docker', 'Node.js', 'SQL']","['Software Engineering', 'Healthcare', 'Business']","We are seeking a Lead Operations Manager to join our Retail team. The ideal candidate will have experience with Java, Clinical Trials, Marketing Strategy, Docker, Node.js and SQL. This position is based in Seattle and offers competitive compensation. Strong background in Software Engineering and Healthcare and Business is essential.",221032.54,340970.38,281001.46
Mid Level Business Analyst,New York,Finance,"['SQL', 'Scrum', 'Risk Management']","['Software Engineering', 'Product & Management']","Join our growing Finance company as a Mid Level Business Analyst. Required technical skills: SQL, Scrum and Risk Management. Position located in New York with excellent benefits. This role focuses on Software Engineering and Product & Management skills.",157172.13,232243.83,194707.97999999998
Senior Data Scientist,New York,Consulting,"['UX Design', 'Machine Learning', 'Data Analysis', 'UI Design']","['Data & AI', 'Design']","Join our growing Consulting company as a Senior Data Scientist. Required technical skills: UX Design, Machine Learning, Data Analysis and UI Design. Position located in New York with excellent benefits. Strong background in Data & AI and Design is essential.",228322.55,357627.13,292974.83999999997
Executive HR Generalist,Austin,Retail,"['Clinical Trials', 'Customer Service', 'Project Management', 'Machine Learning']","['Data & AI', 'Product & Management', 'Healthcare', 'Business']","We are seeking a Executive HR Generalist to join our Retail team. The ideal candidate will have experience with Clinical Trials, Customer Service, Project Management and Machine Learning. This position is based in Austin and offers competitive compensation. This role focuses on Data & AI and Product & Management and Healthcare and Business skills.",255908.12,465486.75,360697.435
Mid Level HR Generalist,New York,Consulting,"['Business Development', 'Equity Research', 'Investment Banking', 'Marketing Strategy', 'Financial Modeling', 'Real Estate Law']","['Finance', 'Business']","Exciting opportunity for a Mid Level HR Generalist in New York. Our Consulting division is expanding and needs someone skilled in Business Development, Equity Research, Investment Banking, Marketing Strategy, Financial Modeling and Real Estate Law. Competitive salary and comprehensive benefits package. This role focuses on Finance and Business skills.",145243.93,232059.1,188651.515
Mid Level Data Scientist,New York,Retail,"['Docker', 'Node.js', 'Healthcare IT', 'Clinical Trials', 'EHR Systems', 'Financial Modeling']","['Software Engineering', 'Finance', 'Healthcare']","Exciting opportunity for a Mid Level Data Scientist in New York. Our Retail division is expanding and needs someone skilled in Docker, Node.js, Healthcare IT, Clinical Trials, EHR Systems and Financial Modeling. Competitive salary and comprehensive benefits package. Strong background in Software Engineering and Finance and Healthcare is essential.",128170.21,191689.69,159929.95
Lead Software Engineer,Austin,Hospitality,"['Machine Learning', 'UX Design', 'Data Analysis', 'UI Design']","['Data & AI', 'Design']","Exciting opportunity for a Lead Software Engineer in Austin. Our Hospitality division is expanding and needs someone skilled in Machine Learning, UX Design, Data Analysis and UI Design. Competitive salary and comprehensive benefits package. This role focuses on Data & AI and Design skills.",186969.8,280378.15,233673.975
Executive Data Scientist,New York,Transportation,"['Data Analysis', 'Node.js', 'React']","['Software Engineering', 'Data & AI']","Exciting opportunity for a Executive Data Scientist in New York. Our Transportation division is expanding and needs someone skilled in Data Analysis, Node.js and React. Competitive salary and comprehensive benefits package. Strong background in Software Engineering and Data & AI is essential.",306737.08,530708.85,418722.96499999997
Entry Level Product Manager,Chicago,Consulting,"['React', 'Java', 'AWS', 'Healthcare IT', 'Manufacturing Processes']","['Software Engineering', 'Healthcare', 'Operations']","Exciting opportunity for a Entry Level Product Manager in Chicago. Our Consulting division is expanding and needs someone skilled in React, Java, AWS, Healthcare IT and Manufacturing Processes. Competitive salary and comprehensive benefits package. Strong background in Software Engineering and Healthcare and Operations is essential.",83729.34,145854.6,114791.97
Senior Product Manager,Chicago,Finance,"['Equity Research', 'Investment Banking', 'Financial Modeling']",['Finance'],"Join our growing Finance company as a Senior Product Manager. Required technical skills: Equity Research, Investment Banking and Financial Modeling. Position located in Chicago with excellent benefits. Strong background in Finance is essential.",208300.68,286061.16,247180.91999999998
Entry Level Software Engineer,San Francisco,Transportation,"['Real Estate Law', 'Business Development', 'Transportation Planning', 'Customer Service', 'Marketing Strategy']","['Operations', 'Business']","We are seeking a Entry Level Software Engineer to join our Transportation team. The ideal candidate will have experience with Real Estate Law, Business Development, Transportation Planning, Customer Service and Marketing Strategy. This position is based in San Francisco and offers competitive compensation. Expert knowledge of Operations and Business is required.",73546.58,110319.96,91933.27
Executive Customer Success Manager,Austin,Technology,"['Business Development', 'Customer Service', 'Investment Banking', 'Marketing Strategy', 'Retail Sales']","['Finance', 'Business']","We are seeking a Executive Customer Success Manager to join our Technology team. The ideal candidate will have experience with Business Development, Customer Service, Investment Banking, Marketing Strategy and Retail Sales. This position is based in Austin and offers competitive compensation. Expert knowledge of Finance and Business is required.",336662.31,555501.04,446081.67500000005
Executive Operations Manager,Chicago,Manufacturing,"['Real Estate Law', 'Scrum', 'Customer Service', 'Risk Management', 'Marketing Strategy', 'Kanban']","['Product & Management', 'Business']","We are seeking a Executive Operations Manager to join our Manufacturing team. The ideal candidate will have experience with Real Estate Law, Scrum, Customer Service, Risk Management, Marketing Strategy and Kanban. This position is based in Chicago and offers competitive compensation. Expert knowledge of Product & Management and Business is required.",287681.59,475343.98,381512.78500000003
Lead Operations Manager,Austin,Technology,"['Agile Methodologies', 'Docker', 'Scrum', 'Healthcare IT', 'Project Management', 'SQL']","['Software Engineering', 'Product & Management', 'Healthcare']","Join our growing Technology company as a Lead Operations Manager. Required technical skills: Agile Methodologies, Docker, Scrum, Healthcare IT, Project Management and SQL. Position located in Austin with excellent benefits. Strong background in Software Engineering and Product & Management and Healthcare is essential.",272599.6,390136.07,331367.83499999996
Entry Level Sales Manager,Chicago,Hospitality,"['Real Estate Law', 'Marketing Strategy', 'Machine Learning', 'Customer Service', 'UI Design']","['Data & AI', 'Design', 'Business']","We are seeking a Entry Level Sales Manager to join our Hospitality team. The ideal candidate will have experience with Real Estate Law, Marketing Strategy, Machine Learning, Customer Service and UI Design. This position is based in Chicago and offers competitive compensation. This role focuses on Data & AI and Design and Business skills.",71077.52,108872.8,89975.16
Senior Business Analyst,Chicago,Education,"['Machine Learning', 'Project Management', 'Agile Methodologies', 'Kanban', 'Scrum', 'Data Analysis']","['Data & AI', 'Product & Management']","Join our growing Education company as a Senior Business Analyst. Required technical skills: Machine Learning, Project Management, Agile Methodologies, Kanban, Scrum and Data Analysis. Position located in Chicago with excellent benefits. Expert knowledge of Data & AI and Product & Management is required.",160311.79,232808.76,196560.27500000002
Mid Level Software Engineer,New York,Healthcare,"['Transportation Planning', 'Machine Learning', 'Logistics']","['Data & AI', 'Operations']","We are seeking a Mid Level Software Engineer to join our Healthcare team. The ideal candidate will have experience with Transportation Planning, Machine Learning and Logistics. This position is based in New York and offers competitive compensation. Expert knowledge of Data & AI and Operations is required.",140251.78,208057.97,174154.875
Entry Level Software Engineer,New York,Consulting,"['Machine Learning', 'Kanban', 'Scrum', 'Agile Methodologies']","['Data & AI', 'Product & Management']","We are seeking a Entry Level Software Engineer to join our Consulting team. The ideal candidate will have experience with Machine Learning, Kanban, Scrum and Agile Methodologies. This position is based in New York and offers competitive compensation. This role focuses on Data & AI and Product & Management skills.",100453.96,154742.8,127598.38
Executive Sales Manager,San Francisco,Technology,"['Python', 'Node.js', 'Docker', 'AWS', 'React', 'Java']",['Software Engineering'],"Exciting opportunity for a Executive Sales Manager in San Francisco. Our Technology division is expanding and needs someone skilled in Python, Node.js, Docker, AWS, React and Java. Competitive salary and comprehensive benefits package. Expert knowledge of Software Engineering is required.",468418.56,785058.49,626738.525
